realClass,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'SB',19.5,31.1,13.8,17.1,20.5,16.4,66.3,0.0,0.0,0.5,0.0,0.0152,0.0,2.0,0.0,0.0,0.0,0.0303,0.2121,0.0,0.0,66.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,211.0,473.0,149.2,478.0,2.0,0.0,1.0,2.0,41.0,880.0,0.0,4.8889,22.0,8465710
'AC',17.5,47.6,11.5,14.7,17.6,13.5,55.7,5.0,272.0,0.5158,0.2252,49,75.0,101.0,52.0,19.0,1.0,0.0162,0.1257,14.0,115.0,14479.0,444.0,0.0307,939.0,4998.5713,0.7,21.0,2.1,95.0,21832.0,157.13,597.0,0.9,11.0,10.0,9.0,128.0,10497.0,1.1,215.5441,130.4414,959699
'GA',15.7,54.9,11.8,12.6,14.9,11.7,52.0,0.0,21.0,0.5909,0.1818,0.0481,5.0,5.0,3.0,2.0,0.0,12,105,0.0,3.0,1248.0,44.0,0.0304,31.0,500.6897,0.0,29.0,4.8333,10.0,5645.0,33.94,1204.0,0.5,1.0,6.0,3.0,150.0,2420.0,0.1667,110.8397,124.8,2562815
'SB',18.2,47.6,12.4,14.7,16.1,11.7,64.8,0.0,2.0,0.0,0.0,0.0615,0.0,0.0,1.0,0.0,0.0,0.0308,0.1231,0.0,0.0,65.0,2.0,0.0462,3.0,0.0,0.0,0.0,0.0,229.0,397.0,161.93,398.0,0.0,0.0,1.0,0.0,34.0,1050.0,0.0,35.0,65.0,2885544
'AC',18.0,36.5,14.8,15.2,18.6,15.5,60.9,0.0,36.0,0.6571,0.1714,47,4.0,13.0,3.0,6.0,0.0,0.0561,0.1456,1.0,14.0,1978.0,70.0,0.0248,31.0,1429.5455,0.4286,11.0,1.5714,48.0,5855.0,184.91,2141.0,1.8571,0.0,7.0,13.0,150.0,2246.4287,0.0,68.0736,116.3529,4319287
'SB',12.8,55.5,11.1,11.3,14.7,12.7,49.3,0.0,17.0,0.4762,0.1429,0.0492,2.0,1.0,5.0,0.0,0.0,0.0164,0.1189,0.0,1.0,488.0,21.0,0.0635,23.0,1939.0,0.0,2.0,0.6667,133.0,2432.0,66.5,2439.0,0.3333,0.0,3.0,1.0,66.0,1292.6667,0.0,46.1667,97.6,2651677
'FA',25.9,32.6,12.9,20.5,23.7,16.0,74.0,0.0,42.0,0.6463,0.2683,0.0469,22.0,9.0,15.0,5.0,5.0,0.0226,0.1069,0.0,9.0,3900.0,82.0,0.0195,227.0,648.1923,0.2857,78.0,11.1429,15.0,8855.0,415.78,2390.0,1.5714,0.0,7.0,11.0,253.0,7222.7144,0.0,204.6923,390.0,5015248
'SB',6.4,70.7,9.8,5.8,8.0,8.5,31.9,0.0,3.0,0.3333,0.0,0.0508,0.0,1.0,1.0,0.0,0.0,0.0,0.0847,0.0,0.0,59.0,6.0,0.0508,2.0,0.0,0.0,0.0,0.0,187.0,354.0,132.23,355.0,1.0,0.0,1.0,1.0,15.0,710.0,0.0,64.5455,59.0,2027498
'SB',33.8,19.4,12.4,26.6,30.8,18.5,87.8,0.0,2.0,0.5,0.5,31,0.0,1.0,0.0,0.0,0.0,0.0078,155,0.0,0.0,129.0,2.0,0.0465,8.0,0.0,0.0,0.0,0.0,869.0,869.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,136.5714,43.0,5042499
'BC',19.8,46.6,10.7,16.4,20.0,14.4,59.7,0.0,20.0,0.5,0.25,0.0459,7.0,4.0,5.0,1.0,0.0,0.0108,0.1213,0.0,6.0,1393.0,36.0,0.0244,39.0,13676.0,0.0,1.0,0.2,15.0,2421.0,141.16,900.0,0.4,6.0,5.0,2.0,192.0,2735.2,1.2,132.7767,69.65,1517700
'SB',13.8,59.1,11.3,11.3,14.2,11.8,48.2,0.0,4.0,0.4,0.2,0.0159,0.0,0.0,1.0,0.0,0.0,0.0079,0.0952,0.0,1.0,126.0,5.0,0.0317,3.0,0.0,0.0,0.0,0.0,190.0,498.0,109.7,499.0,0.0,0.0,2.0,0.0,46.0,610.5,0.0,111.0,126.0,11498719
'FA',19.1,42.9,12.8,15.7,18.8,14.6,62.4,0.0,56.0,0.6324,0.2279,0.0521,18.0,26.0,11.0,4.0,0.0,0.0141,0.1148,1.0,11.0,4607.0,136.0,0.0221,209.0,556.2017,0.5556,119.0,13.2222,14.0,5544.0,294.35,1776.0,0.8889,5.0,9.0,8.0,154.0,7354222,0.5556,192407,329.0714,2465797
'SB',9.7,66.5,11.5,7.8,10.5,10.1,40.2,0.0,3.0,0.3333,0.1667,0.0753,0.0,0.0,1.0,0.0,0.0,0.0108,0.0968,0.0,1.0,93.0,6.0,43,4.0,0.0,0.0,0.0,0.0,86.0,577.0,78.52,578.0,0.5,0.0,2.0,1.0,30.0,422.0,0.0,105.5,93.0,2077948
'SB',12.6,49.2,11.7,11.8,17.4,14.9,55.8,0.0,1.0,0.7143,0.1429,0.0065,0.0,0.0,0.0,0.0,0.0,0.0065,0.0131,0.0,0.0,153.0,7.0,0.0065,0.0,0.0,0.0,0.0,0.0,1186.0,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,84.7895,76.5,12987244
'GA',14.6,55.8,11.3,12.2,15.4,12.6,51.7,0.0,57.0,0.5341,0.1818,0.0469,14.0,16.0,17.0,6.0,2.0,0.0156,0.15,0.0,17.0,2366.0,88.0,0.0376,98.0,1135375,0.6,16.0,3.2,12.0,3942.0,82.65,1422.0,0.0,7.0,5.0,0.0,208.0,3633.2,1.4,183.4949,236.6,11271028
'FA',16.3,40.9,13.5,14.2,17.2,14.4,58.1,0.0,70.0,0.5827,0.1871,0.0436,14.0,18.0,29.0,2.0,0.0,0.0234,0.1305,0.0,13.0,3716.0,139.0,0.0264,194.0,1127.6486,1.0,37.0,4625,10.0,3461.0,556.89,2073.0,2.75,12.0,8.0,22.0,211.0,5215375,1.5,188.7919,218.5882,17902
'SB',17.5,40.8,13.8,14.7,16.0,12.9,62.7,0.0,1.0,0.5,0.25,0.0348,3.0,0.0,2.0,0.0,0.0,0.0,0.1043,1.0,0.0,115.0,4.0,0.0087,5.0,860.6667,1.0,3.0,3.0,45.0,1119.0,25.98,1126.0,0.0,1.0,1.0,0.0,44.0,2582.0,1.0,172.1333,115.0,14770545
'ST',24.8,29.8,12.2,20.7,24.0,16.6,72.7,0.0,4.0,0.5,0.3333,0.0286,0.0,3.0,0.0,1.0,0.0,0.0179,175,0.0,0.0,280.0,6.0,25,7.0,0.0,0.3333,0.0,0.0,438.0,1710.0,370.0,1719.0,1.3333,0.0,3.0,4.0,97.0,1882.6667,0.0,41.2263,46.6667,508563
'AC',16.4,55.4,11.0,13.3,16.4,12.6,55.1,1.0,50.0,0.6667,0.2222,0.0384,16.0,12.0,16.0,2.0,0.0,0.0165,0.1077,1.0,15.0,3929.0,126.0,0.0171,129.0,671.9375,0.1,48.0,4.8,21.0,5865.0,365.08,5874.0,6.2,3.0,10.0,62.0,208.0,3225.3,0.3,173.4032,436.5556,30769
'FA',82.9,-91.3,14.6,65.7,70.2,30.5,189.4,0.0,43.0,0.6604,0.3396,0.0553,81.0,19.0,4.0,1.0,0.0,35,0.1556,0.0,2.0,8464.0,53.0,0.0313,363.0,556.2587,1.2,143.0,14.3,12.0,8010.0,59.4,1565.0,0.2,14.0,10.0,2.0,739.0,7954.5,1.4,185.8528,769.4545,3421031
'SB',3.2,103.7,5.8,1.2,3.8,3.0,20.0,0.0,1.0,0.0,0.0,0.0526,0.0,0.0,1.0,0.0,0.0,0.0,0.1579,0.0,1.0,19.0,2.0,0.0526,2.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,64.4,6.3333,7992323
'BC',12.9,61.9,10.5,10.7,13.6,11.4,46.5,0.0,15.0,0.4167,0.0833,0.0541,3.0,5.0,7.0,1.0,0.0,0.0203,0.1201,0.0,3.0,591.0,24.0,0.0355,19.0,2267.3333,0.25,3.0,0.75,367.0,1537.0,164.13,1550.0,1.0,0.0,4.0,4.0,53.0,1700.5,0.0,103.0606,65.6667,1434067
'BC',14.9,54.7,11.7,12.3,14.5,11.7,50.9,0.0,24.0,449,0.2041,0.0456,7.0,4.0,6.0,0.0,0.0,0.0084,0.1193,2.0,5.0,1316.0,49.0,0.0289,53.0,10398.0,0.5714,1.0,0.1429,92.0,4863.0,76.01,95.0,0.1429,0.0,7.0,1.0,83.0,1485.4286,0.0,259.95,82.25,2003098
'SB',8.2,65.6,12.0,6.6,9.0,9.1,37.5,0.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,125,0.0,0.0,40.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,406.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,55.0,20.0,7153128
'GA',19.2,48.3,11.6,15.5,18.9,14.0,60.2,0.0,12.0,0.6667,0.2083,0.0498,2.0,2.0,4.0,5.0,0.0,7,0.1008,1.0,3.0,863.0,24.0,0.0255,31.0,628.6667,0.25,21.0,5.25,19.0,3206.0,116.67,1764.0,0.0,3.0,4.0,0.0,135.0,3300.5,0.75,151.7471,287.6667,9121737
'ST',10.4,71.0,9.7,8.4,11.8,10.4,40.2,0.0,15.0,0.4583,0.25,0.0265,5.0,4.0,1.0,0.0,0.0,0.0041,0.1163,0.0,2.0,490.0,24.0,0.0449,9.0,1966.5,0.0,2.0,0.4,17.0,1249.0,69.4,444.0,0.4,0.0,5.0,2.0,46.0,786.6,0.0,327.75,70.0,1675969
'ST',14.4,29.9,13.0,14.9,19.5,16.3,56.6,0.0,24.0,0.5161,0.0968,0.0289,5.0,10.0,2.0,2.0,0.0,0.0949,0.1169,0.0,4.0,727.0,31.0,0.0536,29.0,0.0,0.0,0.0,0.0,558.0,2234.0,322.92,660.0,0.0,0.0,5.0,0.0,102.0,1307.0,0.0,83.7821,48.4667,779862
'BC',12.3,56.7,11.4,10.7,12.7,11.1,44.6,0.0,16.0,0.5429,0.1714,0.0597,2.0,7.0,2.0,1.0,0.0,0.0093,0.1393,0.0,6.0,754.0,35.0,0.0292,51.0,0.0,0.1667,0.0,0.0,255.0,4294.0,98.27,258.0,0.0,0.0,6.0,0.0,61.0,1338.6667,0.0,79.5248,53.8571,2839614
'BC',43.6,-3.3,12.3,34.7,38.4,20.2,109.7,0.0,14.0,0.4667,0.3333,0.0419,2.0,5.0,1.0,0.0,0.0,0.0284,0.1398,0.0,0.0,1266.0,15.0,0.0482,32.0,0.0,0.0,0.0,0.0,92.0,2533.0,32.33,823.0,0.0,3.0,5.0,0.0,206.0,1777.6,0.6,423.2381,90.4286,12850367
'ST',16.7,45.0,12.2,14.4,18.7,15.3,59.4,0.0,10.0,0.4444,0.1667,0.0485,5.0,0.0,6.0,0.0,1.0,28,0.1343,0.0,3.0,536.0,18.0,28,30.0,0.0,0.0,0.0,0.0,3432.0,3432.0,0.0,0.0,1.0,0.0,0.0,1.0,78.0,0.0,0.0,273.3077,134.0,12101464
'AC',16.1,40.1,14.2,13.9,16.8,14.3,54.4,0.0,22.0,0.4634,0.2683,0.0469,9.0,7.0,7.0,2.0,0.0,0.0234,0.1309,0.0,4.0,1024.0,41.0,0.0313,40.0,1405.75,0.8,8.0,1.6,13.0,3113.0,61.33,1336.0,1.2,3.0,5.0,6.0,47.0,2249.2,0.6,295.9474,78.7692,531972
'SB',4.5,90.3,7.1,3.3,6.8,7.5,26.3,0.0,1.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0625,0.0938,0.0,0.0,32.0,3.0,0.0313,2.0,0.0,0.3333,0.0,0.0,45.0,140.0,63.5,145.0,0.3333,0.0,3.0,1.0,14.0,362.6667,0.0,18.4407,10.6667,13887253
'BC',11.1,59.1,10.5,10.1,13.0,11.6,44.5,0.0,14.0,0.6111,0.2222,0.0461,0.0,0.0,12.0,1.0,0.0,0.0108,0.1463,0.0,2.0,738.0,36.0,0.0217,35.0,6223.0,125,1.0,125,75.0,1829.0,143.0,424.0,0.25,0.0,8.0,2.0,78.0,777875,0.0,107.2931,82.0,3854436
'ST',29.0,25.1,12.6,23.3,27.4,18.2,79.9,0.0,7.0,0.6429,0.2857,0.0512,2.0,0.0,3.0,0.0,0.0,0.0105,0.0932,0.0,0.0,762.0,14.0,0.0249,19.0,0.0,0.6667,0.0,0.0,299.0,4644.0,149.5,4655.0,1.3333,0.0,3.0,4.0,250.0,2050.0,0.0,192.1875,152.4,2605189
'SB',7.1,69.8,10.6,6.0,6.0,6.9,45.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,20.0,2.0,0.1,1.0,0.0,0.0,0.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,121.0,10.0,1391580
'GA',17.5,50.5,10.9,14.6,17.4,13.0,57.2,1.0,211.0,0.5359,0.2059,0.0444,45.0,98.0,32.0,12.0,3.0,0.0188,0.1207,6.0,25.0,10307.0,306.0,0.0337,253.0,893.7957,2.2222,93.0,10.3333,12.0,6575.0,126.49,1803.0,4.4444,16.0,9.0,40.0,303.0,9235889,1.7778,277.0767,206.14,846981
'FA',21.7,47.8,10.1,17.4,20.4,12.8,62.5,0.0,8.0,0.7059,0.1765,0.0216,0.0,5.0,0.0,1.0,0.0,0.0067,0.0876,0.0,2.0,742.0,17.0,27,11.0,680.0,0.5,17.0,4.25,39.0,3079.0,145.79,660.0,0.0,0.0,4.0,0.0,231.0,2890.0,0.0,86.9173,247.3333,392975
'GA',16.8,54.2,9.7,14.2,17.3,12.5,54.5,0.0,19.0,0.6216,0.2162,0.0542,10.0,8.0,4.0,3.0,0.0,0.0079,0.1124,0.0,5.0,1272.0,37.0,0.0322,69.0,1260.0,0.5,11.0,1.8333,167.0,2900.0,219.6,1205.0,1.1667,0.0,6.0,7.0,157.0,2310.0,0.0,118.4615,212.0,983485
'AC',17.3,42.4,12.2,15.0,18.9,15.3,58.7,0.0,74.0,0.4746,0.2119,0.0454,24.0,22.0,16.0,8.0,1.0,0.0232,0.1365,2.0,16.0,3657.0,118.0,38,151.0,1541.6471,0.1429,17.0,2.4286,17.0,6485.0,229.28,2295.0,1.7143,7.0,7.0,12.0,102.0,3744.0,1.0,110.5823,107.5588,165404
'FA',20.1,37.3,13.8,16.6,19.6,15.3,64.7,0.0,45.0,0.5385,0.2637,0.0382,25.0,19.0,9.0,4.0,0.0,0.0192,0.1125,0.0,15.0,3119.0,91.0,0.0205,132.0,821175,0.4444,40.0,4.4444,10.0,6135.0,312.16,2159.0,0.6667,4.0,9.0,6.0,209.0,3649.6667,0.4444,138.5949,346.5556,2024285
'FA',14.7,57.8,11.1,12.0,14.7,11.7,49.2,0.0,55.0,0.6034,0.1724,0.0515,10.0,16.0,24.0,6.0,1.0,0.0122,0.1011,1.0,4.0,3186.0,116.0,0.0273,174.0,714.1905,0.0909,42.0,3.8182,19.0,4967.0,109.87,2110.0,0.2727,5.0,11.0,3.0,310.0,2726.9092,0.4545,192.2821,398.25,361548
'AC',14.3,59.6,10.9,11.7,14.8,12.0,48.5,0.0,109.0,0.5275,0.2033,0.0512,24.0,45.0,15.0,2.0,2.0,0.0165,0.1127,3.0,18.0,4923.0,182.0,0.0319,180.0,1027.6512,0.3077,43.0,3.3077,15.0,5121.0,193.71,1422.0,0.0769,9.0,13.0,1.0,95.0,3399.1538,0.6923,122.0691,144.7941,88678
'GA',12.9,51.7,12.5,11.3,14.6,12.8,49.2,0.0,25.0,0.4839,3897.9678,0.0734,8.0,9.0,5.0,1.0,0.0,0.0107,0.1193,0.0,0.0,654.0,31.0,0.0596,23.0,803.1,0.0,10.0,1.6667,15.0,1621.0,107.72,819.0,0.1667,0.0,6.0,1.0,82.0,1338.5,0.0,129.5323,218.0,10991941
'ST',14.7,57.6,10.7,12.2,14.8,11.6,48.0,0.0,11.0,0.6471,0.2353,46,0.0,4.0,0.0,0.0,0.0,0.0167,113,0.0,1.0,478.0,17.0,0.0523,6.0,0.0,0.0,0.0,0.0,60.0,1824.0,142.87,233.0,0.0,1.0,5.0,0.0,93.0,935.8,0.2,35447,47.8,95440
'ST',22.8,39.9,12.6,18.1,21.3,15.0,67.2,0.0,3.0,0.7,0.3,0.0239,1.0,1.0,3.0,0.0,0.0,0.0048,0.0644,0.0,2.0,419.0,10.0,0.0072,22.0,0.0,0.0,0.0,0.0,964.0,1964.0,1388.76,965.0,0.0,0.0,1.0,0.0,117.0,3783.0,0.0,49.1299,104.75,6156235
'SB',20.3,36.3,12.9,17.1,20.0,15.2,58.2,0.0,1.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,36.0,1.0,0.0278,0.0,0.0,0.0,0.0,0.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,51.5263,18.0,9975678
'FA',18.3,37.9,14.2,15.4,19.1,15.7,62.1,0.0,129.0,583,0.2242,0.0513,5.0,46.0,12.0,7.0,0.0,0.0183,0.1336,0.0,13.0,6653.0,223.0,0.0347,86.0,645.4444,1.2222,126.0,7.0,10.0,7527.0,205.33,2454.0,0.1111,0.0,18.0,2.0,164.0,4518.1113,0.0,112.4841,201.6061,16880
'FA',20.1,45.3,11.3,16.5,19.6,14.1,62.2,0.0,17.0,0.5849,0.3774,0.0202,2.0,2.0,1.0,0.0,0.0,0.0039,0.0748,0.0,4.0,2032.0,53.0,0.0157,29.0,707.9512,0.0,41.0,5.8571,15.0,1689.0,352.18,889.0,1.7143,15.0,7.0,12.0,146.0,4146.5713,2.1429,91.5647,254.0,2554724
'SB',12.1,65.3,9.3,10.4,13.7,11.4,47.7,0.0,3.0,0.3333,0.0,0.04,0.0,2.0,1.0,0.0,0.0,0.0,0.1333,0.0,0.0,75.0,3.0,0.0667,2.0,0.0,0.0,0.0,0.0,57.0,781.0,40.31,790.0,0.0,0.0,1.0,0.0,35.0,986.0,0.0,51.8947,25.0,2593568
'FA',32.0,10.6,13.0,26.7,30.3,19.8,88.1,0.0,66.0,0.5588,0.3039,43,5.0,34.0,13.0,4.0,0.0,0.0111,145,0.0,12.0,6116.0,102.0,18,197.0,371.6783,2.3333,143.0,11.9167,11.0,6862.0,71.56,2211.0,0.0,0.0,12.0,0.0,211.0,4429.1665,0.0,240.4977,873.7143,10506838
'GA',21.8,44.2,11.6,17.4,20.3,13.6,65.1,0.0,21.0,0.5897,0.3333,0.0333,6.0,2.0,7.0,1.0,0.0,0.0062,0.0968,0.0,6.0,1622.0,39.0,0.0203,73.0,611.5909,0.0,22.0,4.4,104.0,4881.0,345.38,1881.0,4.0,0.0,5.0,20.0,125.0,2691.0,0.0,91.5306,180.2222,1684129
'SB',2.8,89.1,5.0,3.5,7.4,8.0,20.1,0.0,2.0,0.3333,0.0,0.0615,3.0,0.0,3.0,0.0,0.0,0.0154,0.1077,0.0,1.0,65.0,6.0,0.0308,5.0,0.0,0.0,0.0,0.0,1.0,44.0,5.37,2.0,0.0,0.0,4.0,0.0,19.0,371.75,0.0,3.3044,32.5,11354514
'AC',11.3,62.8,12.1,9.0,11.8,10.8,47.2,0.0,38.0,0.4342,0.2105,0.0508,2.0,17.0,6.0,2.0,0.0,0.0413,0.1392,0.0,13.0,1379.0,76.0,0.0413,27.0,0.0,0.8333,0.0,0.0,208.0,2333.0,65.78,1898.0,0.3333,3.0,6.0,2.0,56.0,2210.8333,0.5,138.1771,59.9565,3309430
'SB',10.5,60.5,13.9,7.9,9.0,9.1,58.5,0.0,1.0,0.25,0.0,0.02,0.0,2.0,1.0,0.0,0.0,0.0,0.14,0.0,0.0,50.0,4.0,0.02,1.0,0.0,0.0,0.0,0.0,438.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2164,25.0,2609544
'FA',19.5,40.4,13.5,16.0,19.6,15.5,63.8,0.0,107.0,599,0.2222,0.0489,32.0,40.0,26.0,6.0,1.0,0.0246,0.1228,1.0,42.0,6939.0,207.0,0.0264,278.0,1749.0323,0.5455,31.0,2.8182,98.0,11600.0,323.03,5739.0,3.5455,0.0,11.0,39.0,201.0,4929091,0.0,245.3394,182.6053,1526860
'FA',16.9,44.2,14.5,13.6,17.0,14.3,58.0,0.0,50.0,0.5185,0.1358,0.0714,11.0,20.0,7.0,2.0,0.0,0.0099,0.1048,0.0,7.0,2128.0,81.0,0.0367,47.0,582025,0.2857,40.0,5.7143,17.0,3131.0,145.89,1825.0,0.5714,5.0,7.0,4.0,132.0,3325.8572,0.7143,273.8941,236.4444,4096922
'ST',14.9,50.3,10.7,13.4,16.6,13.6,56.6,0.0,8.0,0.4286,0.1429,0.0499,3.0,0.0,5.0,1.0,0.0,15,0.1895,0.0,4.0,401.0,14.0,0.0274,30.0,0.0,0.0,0.0,0.0,2449.0,2449.0,0.0,0.0,1.0,0.0,0.0,1.0,48.0,0.0,0.0,13.6457,80.2,306828
'ST',12.8,58.9,11.7,10.5,13.2,11.5,46.3,0.0,17.0,0.4348,0.1304,0.0334,0.0,3.0,6.0,1.0,0.0,0.0177,0.1139,0.0,4.0,509.0,23.0,53,36.0,5258.0,0.0,1.0,0.3333,31.0,2293.0,114.72,962.0,0.0,2.0,3.0,0.0,47.0,1752.6667,0.6667,116.8444,169.6667,172049
'SB',9.3,67.3,9.7,8.3,11.6,10.7,38.6,0.0,5.0,0.2,0.0,0.0444,0.0,3.0,0.0,0.0,0.0,0.0222,0.1,0.0,5.0,180.0,10.0,0.0444,3.0,0.0,0.0,0.0,0.0,16.0,933.0,73.48,940.0,1.0,3.0,2.0,2.0,28.0,764.0,1.5,152.8,36.0,5834799
'FA',13.3,59.3,11.3,11.0,13.7,11.5,48.7,0.0,39.0,0.5545,0.1909,0.0436,7.0,27.0,11.0,1.0,0.0,0.0128,0.1503,1.0,18.0,2662.0,110.0,0.0203,113.0,938.75,625,24.0,3.0,10.0,4381.0,623.0,1572.0,125,0.0,8.0,1.0,113.0,2816.25,0.0,159.7872,221.8333,7498320
'AC',17.4,41.8,12.8,14.9,18.1,14.6,58.5,0.0,28.0,619,0.1667,0.0331,12.0,10.0,5.0,0.0,0.0,15,0.13,2.0,1.0,1269.0,42.0,0.0402,36.0,0.0,0.5556,0.0,0.0,18.0,1019.0,158.3,653.0,0.7778,9.0,9.0,7.0,129.0,1160.4445,1.0,143.0685,74.6471,245966
'BC',10.9,63.2,11.6,9.0,12.7,11.6,43.2,0.0,33.0,0.3889,0.1667,0.0658,5.0,3.0,10.0,2.0,0.0,0.0061,0.1184,1.0,6.0,988.0,54.0,0.0455,68.0,0.0,0.0,0.0,0.0,133.0,3541.0,685.04,207.0,0.0,3.0,2.0,0.0,39.0,3881.5,1.5,204.2895,82.3333,3130108
'ST',8.2,70.7,9.4,7.3,9.6,9.2,41.1,0.0,26.0,0.4694,0.1837,0.0517,1.0,1.0,6.0,1.0,1.0,9,0.1344,0.0,6.0,774.0,49.0,0.0401,46.0,0.0,0.0,0.0,0.0,177.0,1133.0,129.4,221.0,0.0,1.0,6.0,0.0,39.0,876.5,0.1667,101.1346,64.5,5471694
'SB',6.8,74.4,10.6,5.0,8.9,8.9,39.4,0.0,3.0,0.1667,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0192,0.1154,0.0,0.0,52.0,6.0,0.0577,2.0,0.0,0.0,0.0,0.0,175.0,277.0,195.87,178.0,2.0,0.0,1.0,2.0,17.0,884.0,0.0,68.0,17.3333,12348658
'GA',21.6,41.8,12.0,17.5,19.7,13.3,64.4,0.0,22.0,0.6,0.3,0.0495,5.0,10.0,7.0,0.0,0.0,0.0198,0.1245,0.0,7.0,1615.0,40.0,0.0266,75.0,1497.6,0.2,10.0,2.0,25.0,5874.0,254.91,671.0,0.2,2.0,5.0,1.0,110.0,2995.2,0.4,208.0,115.3571,2150105
'AC',13.3,56.2,12.2,11.0,13.1,11.4,49.4,0.0,64.0,0.3961,0.1753,0.0504,14.0,45.0,21.0,4.0,0.0,0.0116,0.1156,0.0,12.0,3451.0,154.0,0.0258,107.0,1211.8333,0.8571,24.0,3.4286,14.0,3260.0,219.6,1059.0,1.0,14.0,7.0,7.0,95.0,4154857,2.0,168.1156,101.5,316255
'AC',19.0,48.5,12.0,15.2,17.7,12.9,61.2,0.0,30.0,0.5439,0.2632,0.0586,5.0,12.0,5.0,2.0,1.0,9,0.1238,0.0,15.0,1995.0,57.0,0.0231,61.0,3748.25,0.1429,4.0,0.5714,251.0,5194.0,280.37,477.0,1.0,0.0,7.0,7.0,130.0,2141.8572,0.0,86.1667,83125,516156
'AC',11.8,57.3,11.3,10.4,13.6,12.0,45.1,0.0,168.0,0.4875,172,0.0593,41.0,67.0,22.0,14.0,3.0,0.0148,0.1157,2.0,19.0,5817.0,279.0,0.0437,162.0,6599.75,0.3636,8.0,0.7273,12.0,17406.0,257.37,1025.0,0.8182,8.0,11.0,9.0,123.0,4799.8184,0.7273,158.5526,67.6395,14451
'AC',16.3,39.7,10.7,15.6,19.4,15.6,58.8,0.0,27.0,0.6,0.1429,0.0299,2.0,2.0,7.0,0.0,0.0,0.0353,0.1114,1.0,1.0,1104.0,35.0,0.0399,34.0,1756.5,0.0,8.0,1.0,17.0,3005.0,157.5,834.0,625,7.0,8.0,5.0,165.0,1756.5,875,133.8286,58.1053,994800
'FA',17.8,34.4,14.3,15.6,19.4,16.1,62.7,0.0,71.0,0.6,0.2286,0.0585,19.0,12.0,11.0,3.0,0.0,0.0236,0.1329,0.0,9.0,3009.0,105.0,0.0485,138.0,484.6786,0.8333,84.0,7.0,10.0,2682.0,336.64,1801.0,0.1667,4.0,12.0,2.0,125.0,3392.75,0.3333,138.9522,1003.0,13486
'SB',12.0,62.4,10.9,10.0,12.4,10.7,48.1,0.0,3.0,0.5,0.25,0.0227,0.0,0.0,2.0,0.0,0.0,0.0114,0.1364,0.0,0.0,88.0,4.0,0.0341,2.0,0.0,0.0,0.0,0.0,606.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,76.6,22.0,1048715
'FA',16.2,56.0,11.1,13.1,15.7,11.8,56.2,0.0,70.0,0.5417,0.2153,0.0493,13.0,12.0,39.0,8.0,0.0,0.0081,137,3.0,31.0,4423.0,144.0,0.0246,309.0,2334.4119,0.5,17.0,1.7,12.0,6587.0,136.58,2783.0,0.2,0.0,10.0,2.0,138.0,3968.5,0.0,277.5175,552875,2581850
'GA',15.5,51.8,11.6,13.1,15.2,12.1,54.3,0.0,31.0,0.5167,0.2333,0.0505,14.0,15.0,10.0,1.0,1.0,0.0211,0.1174,1.0,5.0,1703.0,60.0,0.0317,62.0,1791.6667,0.8333,9.0,1.5,15.0,1694.0,163.97,1623.0,1.1667,5.0,6.0,7.0,72.0,2687.5,0.8333,169.7368,121.6429,66495
