realClass,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'SB',9.7,63.8,10.6,8.6,11.8,11.0,45.0,0.0,6.0,0.4444,0.1111,0.0581,0.0,0.0,4.0,0.0,0.0,0.0065,0.1226,0.0,1.0,155.0,9.0,0.0452,10.0,0.0,0.0,0.0,0.0,19.0,940.0,202.65,945.0,0.0,0.0,2.0,0.0,35.0,1072.5,0.0,102.1429,51.6667,5199198
'AC',15.2,51.5,12.0,12.8,16.5,13.7,54.9,0.0,149.0,0.5754,0.2,41,17.0,88.0,9.0,14.0,0.0,0.0187,0.1215,0.0,39.0,7689.0,285.0,0.0261,101.0,780.9259,1.6667,81.0,9.0,15.0,11198.0,206.17,1594.0,2.2222,12.0,9.0,20.0,225.0,7028.3335,1.3333,141.8274,142.3889,503750
'BC',10.1,64.9,10.8,8.6,11.9,11.0,39.4,0.0,113.0,0.5297,0.1405,0.0574,24.0,38.0,25.0,5.0,0.0,0.0165,0.1095,1.0,9.0,3278.0,185.0,0.0464,83.0,1997.1538,1.1,13.0,1.3,16.0,3819.0,365.26,616.0,1.0,6.0,10.0,10.0,229.0,2596.3,0.6,198.1908,96.4118,22479
'SB',5.5,95.7,6.5,3.6,6.0,3.0,28.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,15.0,1.0,0.0667,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,38.25,7.5,11830457
'FA',12.1,46.6,12.6,11.5,15.2,13.4,48.3,0.0,57.0,0.4643,0.2143,0.0413,34.0,11.0,14.0,4.0,0.0,0.0319,0.1184,1.0,5.0,2129.0,112.0,0.0413,74.0,1054.3889,1.0,18.0,2.25,15.0,2740.0,145.33,1583.0,1125,4.0,8.0,9.0,70.0,2372375,0.5,140.5852,106.45,1706275
'ST',15.2,44.1,14.6,12.7,15.1,13.2,53.1,0.0,6.0,0.4375,0.25,0.0334,1.0,1.0,0.0,0.0,0.0,0.0334,0.1031,0.0,2.0,359.0,16.0,0.0251,3.0,736.8,0.4,5.0,1.0,15.0,1464.0,113.08,1467.0,0.8,0.0,5.0,4.0,54.0,736.8,0.0,193.8947,71.8,13930090
'SB',15.8,55.1,11.1,13.0,15.9,12.5,48.8,0.0,2.0,0.3333,0.3333,0.0337,0.0,1.0,0.0,0.0,0.0,0.0,0.2022,0.0,1.0,89.0,3.0,0.0225,1.0,0.0,1.0,0.0,0.0,224.0,526.0,158.39,527.0,1.0,0.0,1.0,1.0,43.0,942.0,0.0,55.4118,89.0,6680774
'ST',8.8,67.9,11.1,7.3,10.9,10.4,37.9,0.0,1.0,0.75,0.15,0.0214,0.0,0.0,0.0,1.0,0.0,0.0178,0.0427,0.0,0.0,281.0,20.0,0.0036,1.0,4093.0,0.0,1.0,0.5,287.0,2125.0,165.7,992.0,0.0,0.0,2.0,0.0,133.0,2046.5,0.0,35.9035,56.2,6771135
'AC',23.3,39.2,11.4,18.9,21.6,14.2,70.2,0.0,47.0,0.6071,0.25,0.0541,12.0,14.0,3.0,0.0,0.0,0.0075,0.1157,1.0,3.0,3752.0,84.0,0.0301,99.0,745619,1.4444,42.0,4.6667,10.0,5708.0,151.18,1314.0,1.0,9.0,9.0,9.0,185.0,3479.5557,1.0,222.0993,156.3333,9984560
'SB',10.2,57.2,14.1,8.0,8.0,8.5,51.9,0.0,2.0,0.0,0.0,0.0455,0.0,0.0,1.0,0.0,0.0,0.0,0.2273,0.0,0.0,22.0,2.0,0.0909,1.0,0.0,0.0,0.0,0.0,66.0,147.0,46.67,150.0,0.0,0.0,1.0,0.0,12.0,458.0,0.0,57.25,11.0,1606901
'GA',18.2,37.6,13.6,15.6,20.0,16.4,63.3,1.0,20.0,0.6087,0.2174,0.0378,10.0,6.0,2.0,1.0,0.0,0.0157,0.1354,2.0,2.0,1403.0,46.0,0.0342,28.0,882.2308,0.4286,13.0,1.8571,99.0,2257.0,33.0,333.0,1.5714,1.0,7.0,11.0,156.0,1638.4286,0.1429,154.9865,350.75,10575816
'GA',19.5,47.1,10.9,16.1,19.3,13.9,62.5,0.0,44.0,0.6032,254,0.0431,23.0,16.0,14.0,2.0,0.0,0.0151,149,0.0,4.0,2389.0,63.0,0.0373,115.0,584.9792,0.6,48.0,9.6,249.0,3263.0,83.0,1021.0,0.0,3.0,5.0,0.0,202.0,5615.8,0.6,425.4394,217.1818,4538300
'AC',14.1,51.9,13.0,11.7,14.8,12.9,49.1,0.0,52.0,0.4176,0.0989,0.0515,33.0,16.0,21.0,4.0,0.0,0.0135,129,0.0,14.0,2077.0,91.0,0.0342,88.0,1693091,375,11.0,1375,15.0,3561.0,324.13,1715.0,875,1.0,8.0,7.0,64.0,2328.0,125,146.6457,83.08,297924
'GA',23.0,42.8,10.8,18.5,21.6,13.9,67.3,0.0,79.0,0.6429,0.2571,0.0452,28.0,13.0,18.0,10.0,2.0,0.0076,0.1303,4.0,21.0,6322.0,140.0,0.0236,397.0,720.0404,0.7778,99.0,11.0,12.0,5856.0,283.79,2809.0,0.3333,8.0,9.0,3.0,434.0,7920.4443,0.8889,170.1289,210.7333,31586
'GA',14.8,53.1,10.8,12.9,15.9,12.9,50.6,1.0,85.0,0.4803,0.2205,0.0495,15.0,37.0,16.0,3.0,0.0,0.0153,126,7.0,13.0,3594.0,127.0,0.0387,203.0,1728.1765,0.5714,17.0,2.4286,18.0,4481.0,196.44,1877.0,0.4286,6.0,7.0,3.0,90.0,4197.0,0.8571,214.4453,179.7,1672901
'FA',22.4,32.1,12.7,18.9,22.6,16.9,70.5,0.0,129.0,0.5982,0.2545,0.0477,48.0,16.0,25.0,7.0,0.0,17,0.1184,0.0,24.0,9160.0,224.0,23,496.0,670.2192,0.9091,146.0,13.2727,15.0,19775.0,368.85,1757.0,5.3636,12.0,11.0,59.0,231.0,8895637,1.0909,335.1096,704.6154,36812
'SB',9.3,72.7,8.1,8.3,11.0,9.5,38.0,0.0,12.0,0.3478,0.1304,0.0437,0.0,6.0,3.0,3.0,0.0,0.0062,0.1247,1.0,1.0,481.0,23.0,0.0353,16.0,0.0,0.0,0.0,0.0,23.0,1064.0,130.64,745.0,0.0,2.0,3.0,0.0,49.0,1223.6667,0.6667,183.55,60125,5792526
'ST',9.3,72.5,8.1,8.4,11.8,10.4,38.9,0.0,4.0,0.5714,0.2381,0.0318,5.0,2.0,2.0,1.0,0.0,0.0023,0.1136,0.0,1.0,440.0,21.0,0.0136,14.0,0.0,0.0,0.0,0.0,41.0,1077.0,316.36,155.0,0.5,0.0,6.0,3.0,92.0,723.3333,0.0,42.1359,73.3333,5942892
'GA',23.2,30.8,13.1,19.3,22.6,16.5,70.4,0.0,17.0,0.6111,0.2778,0.0492,7.0,3.0,6.0,1.0,0.0,0.0266,0.1356,0.0,0.0,752.0,18.0,0.0559,27.0,723.25,0.0,12.0,3.0,16.0,2626.0,73.34,650.0,0.5,0.0,4.0,2.0,90.0,2169.75,0.0,173.58,752.0,6104991
'AC',18.7,48.6,12.1,15.0,18.3,13.9,58.9,0.0,200.0,0.6218,0.2228,0.0492,74.0,81.0,42.0,10.0,3.0,0.0145,0.1258,4.0,65.0,13202.0,386.0,0.0264,533.0,9013.5,0.5333,10.0,0.6667,15.0,8009.0,178.99,3184.0,0.4,26.0,15.0,6.0,279.0,6009.0,1.7333,192.5962,92.9718,53070
'SB',6.2,66.2,8.4,7.2,10.6,10.2,34.3,0.0,3.0,0.25,0.25,0.0196,0.0,1.0,1.0,0.0,0.0,0.0392,0.1569,0.0,1.0,51.0,4.0,0.0784,2.0,0.0,0.0,0.0,0.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,36.0909,25.5,559066
'ST',11.4,61.9,11.4,9.5,12.2,11.1,47.7,0.0,88.0,507,0.1127,0.0527,2.0,45.0,14.0,3.0,0.0,0.0108,0.1412,0.0,22.0,2769.0,142.0,0.0404,61.0,0.0,0.5,0.0,0.0,12.0,4572.0,248.39,622.0,625,6.0,8.0,5.0,96.0,2636125,0.75,85.3806,115375,240090
'SB',15.7,47.8,12.9,13.2,16.5,13.8,55.2,0.0,7.0,0.5,0.2,0.0679,1.0,1.0,5.0,0.0,0.0,0.0151,0.1396,0.0,1.0,265.0,10.0,34,22.0,0.0,0.0,0.0,0.0,119.0,1899.0,68.7,1910.0,0.0,0.0,2.0,0.0,47.0,1154.5,0.0,121.5263,66.25,1625801
'AC',41.8,-1.0,13.0,33.2,36.8,20.1,104.2,0.0,44.0,0.4286,0.4444,0.0672,6.0,6.0,2.0,2.0,0.0,0.0088,0.1255,0.0,13.0,5018.0,63.0,0.0205,111.0,0.0,0.1667,0.0,0.0,371.0,3342.0,484.21,2921.0,0.0,19.0,6.0,0.0,142.0,5931.3335,3.1667,83.7365,92.9259,1616933
'SB',27.4,24.6,13.3,22.3,26.3,18.4,81.5,0.0,6.0,0.7143,0.1429,0.0541,1.0,2.0,2.0,0.0,0.0,0.0142,0.1368,0.0,1.0,351.0,7.0,0.0513,14.0,0.0,0.0,0.0,0.0,2409.0,2409.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,117.5652,117.0,1835507
'AC',18.8,47.2,11.0,15.7,19.5,14.7,61.5,0.0,34.0,0.4565,0.2391,48,9.0,11.0,3.0,0.0,0.0,0.0126,0.1008,0.0,4.0,1666.0,46.0,0.0414,72.0,828.8235,0.5714,17.0,2.4286,10.0,3245.0,255.27,1559.0,0.4286,0.0,7.0,3.0,126.0,2012857,0.0,122.5217,151.4545,1983354
'ST',12.1,50.1,13.1,10.8,13.9,12.5,47.5,0.0,7.0,0.4444,0.2222,0.0183,0.0,4.0,1.0,0.0,0.0,0.0183,0.0915,0.0,0.0,164.0,9.0,0.0549,3.0,0.0,1.0,0.0,0.0,39.0,1057.0,204.38,1062.0,6.0,2.0,0.0,6.0,41.0,0.0,2.0,176.3333,54.6667,6774627
'BC',13.1,55.5,11.8,11.2,14.5,12.6,51.2,0.0,39.0,0.5616,0.1507,42,7.0,18.0,5.0,1.0,0.0,0.0228,0.1255,1.0,5.0,1665.0,73.0,36,64.0,0.0,0.0,0.0,0.0,162.0,4299.0,188.6,272.0,0.3333,0.0,6.0,2.0,141.0,1969.6667,0.0,214.8727,118.9286,418480
'SB',26.4,19.0,12.1,23.0,28.0,20.3,76.0,0.0,1.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,50.0,1.0,0.04,2.0,0.0,0.0,0.0,0.0,233.0,317.0,164.76,320.0,1.0,0.0,1.0,1.0,50.0,739.0,0.0,61.5833,25.0,7469926
