doc_name,ARI readability feature,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per section,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per section,Largest section size,Lasbarhetsindex readability feature,Mean section size,Relative URL link count per length,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Shortest section size,Standard deviation of the section size,Subsection count,Auxiliary verbs count,Char Count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Mean subsection size,Phrase count,Word Count,Large phrase rate,Largest phrase size,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,To be verbs count
6635,9.456019750869707,8.820345864661654,13,13,10.30427224778364,56.54243238693749,11.669621815733365,4,4,0,29.17405453933341,0,0.002052264331645916,39.46916505762094,3,0.0004104528663291832,3,0,0,0,5,26,7309,34,9,42,2,1382.8,67,1330,0.19402985074626863,163,13,0,3,0,0,0,7,3,0,10,0,0.31343283582089554,25
6637733,7.828218201754385,9.254618055555554,3,3,10.111162280701752,49.56848684210527,11.34093567251462,0,0,0,28.35233918128655,0,0.007931665649786455,19.97056274847714,1,0.0006101281269066504,1,0,0,0,5,4,1639,9,0,2,0,254.4,19,288,0.15789473684210523,68,3,0,0,0,0,0,0,6,0,0,0,0.2631578947368421,6
66402,9.157293081119263,11.53213680781759,20,20,10.547001524011357,44.150727944350706,11.602481587588136,2,2,0,29.006203968970343,0,0.006723694863941986,70.86015030929418,31,0.001091280318231422,31,0,0,0,13,83,28407,149,11,47,18,2111.230769230769,332,4605,0.20481927710843373,271,16,1,8,1,6,1,18,15,3,3,0,0.4156626506024096,107
6641,12.622872676279163,11.446114942528734,16,16,12.632533889468196,44.081042752867575,13.488212098330395,4,4,0,33.72053024582599,0,0.0064995357474466105,58.18151864528558,58,0.0031678409525370036,58,0,0,0,8,84,18309,106,15,51,9,2094.875,137,3045,0.13138686131386862,327,18,0,0,0,3,1,8,21,1,7,0,0.45985401459854014,78
66440,8.330051892801624,11.399743691635203,54,54,9.946379757132338,44.84457663655172,11.03934530919461,13,13,0,27.598363272986525,0,0.00980266118146172,73.94363960215179,60,0.00192839236356624,60,0,0,0,8,56,31114,148,12,44,21,3728.625,425,5033,0.21411764705882352,331,17,1,0,2,4,3,15,12,3,9,0,0.5364705882352941,65
664861,13.800168067731832,12.483846710050615,34,34,14.885637142481354,29.280847759597663,15.89486957108111,0,0,0,39.73717392770277,0,0.003422207613928578,94.09335870413386,258,0.004988302623692504,258,0,0,0,7,166,51721,262,12,60,23,7028.428571428572,361,8298,0.1634349030470914,454,19,0,1,0,6,0,13,15,0,5,0,0.3601108033240997,158
66495,15.617205328546788,11.482261640798225,14,14,15.161432794847432,37.364568859324976,16.531573575476017,4,4,0,41.32893393869004,0,0.006570302233902759,45.47352116319061,9,0.0008447531443589262,9,0,0,0,6,33,10654,67,5,20,10,1536.3333333333333,63,1804,0.2857142857142857,225,10,0,1,0,1,1,6,10,1,2,0,0.492063492063492,40
66572,11.407367407600155,11.8217748776509,54,54,13.021934767161405,35.19324422782455,14.11201072869024,6,6,0,35.2800268217256,0,0.007993991093942807,58.362442142665635,6,0.00032190568163528087,6,0,0,0,7,46,18639,119,6,35,7,2414.8571428571427,163,3065,0.2392638036809816,235,15,0,2,0,0,0,8,12,0,2,0,0.4539877300613497,93
6669593,14.816621904761902,13.28206,0,0,16.316314285714288,20.490133333333347,16.883809523809525,2,2,0,42.20952380952381,0,0.008238276299112801,34.622776601683796,30,0.004752851711026616,30,0,0,0,7,2,6312,51,0,7,0,842.8571428571429,42,1000,0.23809523809523808,182,2,0,1,0,0,0,2,4,0,1,0,0.5476190476190477,1
6670943,9.269482758620686,7.53448275862069,2,2,10.931580459770114,55.42771551724141,11.9183908045977,0,0,0,29.79597701149425,0,0.0022222222222222222,12.327379053088816,0,0,0,0,0,0,1,0,450,5,0,0,0,106,4,87,0,37,0,0,0,0,0,0,0,0,0,0,0,0.25,2
66743,13.747808388105696,10.293144663787784,25,25,13.10969550879278,48.598140011627265,13.634386130595605,9,9,0,34.08596532648901,0,0.01295294310542712,83.52328855678958,72,0.001967535661583866,72,0,0,0,10,65,36594,180,19,56,25,3523.1,243,6484,0.12757201646090535,742,31,0,3,0,1,0,25,21,1,17,0,0.5349794238683128,109
6680774,15.627820512820506,11.133931623931623,3,3,15.887585470085472,33.25394230769234,16.828205128205127,1,1,0,42.07051282051282,0,0.02218934911242603,13.816653826391969,0,0,0,0,0,0,1,0,676,2,0,0,0,113,4,117,0.25,51,1,0,0,0,0,0,1,0,0,0,0,0.5,1
668697,14.697011070449989,12.670557476231636,4,4,15.326109343680468,29.027634380919125,16.27723201971349,6,6,0,40.69308004928373,0,0.006898473973939098,51.104053883222775,99,0.006898473973939098,99,0,0,0,7,23,14351,111,1,25,7,1894.428571428571,94,2314,0.2553191489361702,287,6,0,0,0,0,0,3,1,0,1,0,0.3404255319148936,27
6689613,5.898610531199257,8.83484342379958,9,9,9.40225191370912,46.612099744838815,10.186796566921828,0,0,0,25.46699141730457,0,0.012195121951219513,24.88606862823929,1,0.0003586800573888092,1,0,0,0,3,4,2788,12,1,2,1,805.6666666666666,45,479,0.26666666666666666,97,1,0,0,0,0,0,0,5,0,0,0,0.6444444444444445,5
66910,15.002553116147311,14.50405099150142,21,21,13.321740439093483,38.84807808073657,13.584206798866855,2,2,0,33.96051699716714,0,0.014773980154355016,29.570660511172846,2,0.0004410143329658214,2,0,0,0,4,5,4535,27,0,8,1,1075.75,32,706,0.1875,115,4,0,0,0,0,0,8,3,0,0,0,0.46875,14
669254,14.871666666666664,15.350370370370367,6,6,12.556882716049389,41.10347222222222,13.5320987654321,0,0,0,33.83024691358025,0,0.015151515151515152,12,0,0,0,0,0,0,1,0,528,1,0,0,0,342,4,81,0.25,44,0,0,0,0,0,0,0,1,0,0,0,0.25,2
